raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-031,random-worker-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-031,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-031.log
raw-032,random-size-heavy,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-032,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-032.log
raw-033,random-flat,unsafe-nonconstant-size:2+25+27+29+31+32+72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-033,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-033.log
raw-034,random-default,duplicate-static:raw-002,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-034.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-034,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-034.log
raw-035,random-worker-heavy,selected,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-035.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-035,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-035.log
raw-036,random-escape-heavy,selected,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-036.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-036,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-036.log
raw-037,random-hybrid,duplicate-static:raw-036,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-037.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-037,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-037.log
raw-038,random-hybrid,duplicate-static:raw-009,68+69+90+97+98+99+100,7,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-038.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-038,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-038.log
raw-039,random-size-heavy,selected,68+71+74+90+97+99,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-039.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-039,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-039.log
raw-040,random-hybrid,duplicate-static:raw-013,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-040.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-040,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-040.log
raw-041,random-worker-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-041,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-041.log
raw-042,random-worker-heavy,unsafe-nonconstant-size:72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-042,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-042.log
raw-043,random-size-heavy,selected,21+37+54+68+69+71+74+90+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-043.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-043,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-043.log
raw-044,random-size-heavy,no-selected-sites,,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-044.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-044,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-044.log
raw-045,random-worker-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-045,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-045.log
raw-046,random-size-heavy,selected,68+71+74+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-046.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-046,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-046.log
raw-047,random-sync-heavy,selected,68+69+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-047.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-047,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-047.log
raw-048,random-flat,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-048,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-048.log
raw-049,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-049,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-049.log
raw-050,random-escape-heavy,duplicate-static:raw-035,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-050.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-050,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-050.log
raw-051,random-escape-heavy,duplicate-static:raw-036,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-051.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-051,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-051.log
raw-052,random-hybrid,unsafe-nonconstant-size:2+25+60+64+66+72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-052,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-052.log
