phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,15.0015,5.00084,136180679,2.72315e+07,411236551,2.7413e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,5.00047,5.00047,216365312,4.3269e+07,216365312,4.3269e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,10.0021,5.00162,220208469,4.40274e+07,436573781,4.36483e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,15.0031,5.00098,216166571,4.32248e+07,652740352,4.35071e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,5.00147,5.00147,216872704,4.33618e+07,216872704,4.33618e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,10.0034,5.00189,217479854,4.34795e+07,434352558,4.34206e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,15.0061,5.00276,215700480,4.31163e+07,650053038,4.33192e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,5.00358,5.00358,143891456,2.87577e+07,143891456,2.87577e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,10.0004,4.99677,144232192,2.88651e+07,288123648,2.88113e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,15.0041,5.00376,142761415,2.85308e+07,430885063,2.87178e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,10,local,xindex,a,hotset-use-local,1,local,5.00129,5.00129,140903936,2.81735e+07,140903936,2.81735e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/010-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,10,local,xindex,a,hotset-use-local,1,local,10.0006,4.99929,140625408,2.81291e+07,281529344,2.81513e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/010-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,10,local,xindex,a,hotset-use-local,1,local,15.0033,5.00275,139801742,2.7945e+07,421331086,2.80825e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/010-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,11,cxl,xindex,a,hotset-use-target,1,remote,5.00239,5.00239,204449024,4.08702e+07,204449024,4.08702e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/011-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-009,1,11,cxl,xindex,a,hotset-use-target,1,remote,10.0022,4.9998,204479431,4.08976e+07,408928455,4.08839e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/011-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-009,1,11,cxl,xindex,a,hotset-use-target,1,remote,15.004,5.00182,203372544,4.06597e+07,612300999,4.08092e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/011-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-013,1,12,cxl,xindex,a,hotset-use-target,1,remote,5.00026,5.00026,286233600,5.72437e+07,286233600,5.72437e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/012-screen-raw-013-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-013,1,12,cxl,xindex,a,hotset-use-target,1,remote,10.0003,5,287739847,5.7548e+07,573973447,5.73958e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/012-screen-raw-013-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
