phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,15.0033,5.00286,145263559,2.90361e+07,436565447,2.90979e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,5.0022,5.0022,213608960,4.2703e+07,213608960,4.2703e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,10.0005,4.99827,215323278,4.30795e+07,428932238,4.28912e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-003,1,7,cxl,xindex,a,hotset-use-target,1,remote,15.0038,5.0033,214329970,4.28378e+07,643262208,4.28734e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/007-screen-raw-003-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,5.0023,5.0023,224612096,4.49018e+07,224612096,4.49018e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,10.0005,4.99817,226382535,4.52931e+07,450994631,4.50973e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,8,cxl,xindex,a,hotset-use-target,1,remote,15.0034,5.0029,220734009,4.41212e+07,671728640,4.47718e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/008-screen-raw-004-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,5.0033,5.0033,128407808,2.56646e+07,128407808,2.56646e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,10.0007,4.99737,128416000,2.56967e+07,256823808,2.56807e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-004,1,9,local,xindex,a,hotset-use-local,1,local,15.0038,5.00313,128432811,2.56705e+07,385256619,2.56773e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/009-screen-raw-004-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,18,local,xindex,a,hotset-use-local,1,local,5.00209,5.00209,139831040,2.79545e+07,139831040,2.79545e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/018-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,18,local,xindex,a,hotset-use-local,1,local,10.0006,4.99847,140482048,2.8105e+07,280313088,2.80297e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/018-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,18,local,xindex,a,hotset-use-local,1,local,15.004,5.00347,140658375,2.81122e+07,420971463,2.80572e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/018-screen-raw-009-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-009,1,19,cxl,xindex,a,hotset-use-target,1,remote,5.00118,5.00118,205826304,4.11555e+07,205826304,4.11555e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/019-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-009,1,19,cxl,xindex,a,hotset-use-target,1,remote,10.0022,5.00101,205610268,4.11138e+07,411436572,4.11347e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/019-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-009,1,19,cxl,xindex,a,hotset-use-target,1,remote,15.004,5.00184,204056036,4.07962e+07,615492608,4.10218e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/019-screen-raw-009-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
