raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-040,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-040,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-040.log
raw-041,random-escape-heavy,duplicate-static:raw-025,21+68+69+72+75+90+91+92+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-041.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-041,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-041.log
raw-042,random-hybrid,selected,71+97+98+99+100,5,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-042.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-042,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-042.log
raw-043,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-043,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-043.log
raw-044,random-default,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-044,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-044.log
raw-045,random-default,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-045,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-045.log
raw-046,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-046,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-046.log
raw-047,random-escape-heavy,duplicate-static:raw-033,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-047.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-047,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-047.log
raw-048,random-escape-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-048,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-048.log
raw-049,random-default,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-049,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-049.log
raw-050,random-flat,duplicate-static:raw-033,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-050.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-050,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-050.log
raw-051,random-flat,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-051,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-051.log
raw-052,random-default,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-052,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-052.log
raw-053,random-flat,selected,2+21+25+27+29+31+32+33+68+69+71+72+74+75+81+82+90+91+92+94+97+98+99+100,24,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-053.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-053,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-053.log
raw-054,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-054,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-054.log
raw-055,random-flat,selected,68+69+71+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-055.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-055,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-055.log
raw-056,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-056,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-056.log
raw-057,random-default,selected,68+69+72+75+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-057.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-057,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-057.log
raw-058,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-058,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-058.log
raw-059,random-flat,selected,72+75+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-059.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-059,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-059.log
raw-060,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-060,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-060.log
raw-061,random-flat,duplicate-static:raw-004,68+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-061.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-061,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-061.log
raw-062,random-worker-heavy,duplicate-static:raw-002,97+99,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-062.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-062,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-062.log
raw-063,random-size-heavy,selected,68+69+71+72+75+90+97+98+99+100,10,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-063.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-063,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-063.log
raw-064,random-escape-heavy,selected,90+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-064.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-064,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-064.log
raw-065,random-size-heavy,selected,71+72,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-065.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-065,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-065.log
raw-066,random-sync-heavy,selected,68+69+71+72+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-066.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-066,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-066.log
raw-067,random-sync-heavy,duplicate-static:raw-007,68+69+72+75+81+82+90+91+97+98+99+100,12,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-067.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-067,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-067.log
