site_id,kind,function,file,line,callee,size_expr,estimated_bytes,score,role,group_id,selected,reasons,member_affinity,member_access_kind,member_access_depth
81,cxx-new,background,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%14,4096,7,rejected,0,no,"escapes-call;sync-atomic-or-volatile-store-same-function;pthread-worker-entry;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
82,cxx-new,background,/usr/include/c++/11/ext/new_allocator.h,124,_ZnwmSt11align_val_t,%23,4096,7,rejected,0,no,"escapes-call;sync-atomic-or-volatile-store-same-function;pthread-worker-entry;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
83,cxx-delete,background,/usr/include/c++/11/ext/new_allocator.h,137,_ZdlPvSt11align_val_t,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
84,cxx-delete,background,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
85,cxx-delete,do_maintenance,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
86,free,do_maintenance,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_buffer_impl.h,47,free,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
87,cxx-delete,do_maintenance,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,200,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
88,cxx-delete,do_maintenance,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,202,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
89,cxx-delete,do_maintenance,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_root_impl.h,166,_ZdlPvSt11align_val_t,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
90,cxx-new,compact_phase_1,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,246,_ZnwmSt11align_val_t,64,64,12,rejected,0,no,"escapes-return;escapes-store;escapes-call;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
